,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-1.0729785,0.3802428,0.5039926,0.5415673,0.8802663,0.6518261,0.47537258,0.97966576,-0.8339896,-0.33200443,0.9969645,-0.0006692014,1.0353981,-0.7287218,0.7966708,0.4441085,-0.15809423,-0.41271085,0.22553296,-0.19140334,-1.0308077,-0.30084231,-0.06861596,-1.6136696,-0.070781186,-0.87682176,-1.3568887,-0.7541725,-0.7773428,-0.7625144,-0.8260224,-1.5487616,-1.1099627,-1.4622395,-1.3692607,-1.6035041,-0.5353956,-1.3622603,-1.4076335,-1.4388263
1,-1.0255667,0.41944408,0.31493917,1.0140271,0.98954546,0.5765697,0.7501335,0.61152905,-1.008899,0.07397807,0.9697626,0.13632698,0.7745415,-0.5652609,0.60233015,0.3901438,-0.33420542,-0.096217245,-0.0010139428,0.2589348,-0.9360832,-0.3690939,-0.00826665,-1.6250415,0.2332164,-1.1030877,-1.3925078,-0.31412244,-0.8974805,-0.6984912,-0.65924335,-1.6957059,-0.9548829,-1.6278647,-1.3541416,-1.2363218,-0.6875575,-1.8807756,-1.3376006,-1.7371883
2,-1.0117286,0.57410836,0.46773684,0.6849129,0.61015385,0.7351684,0.6669315,0.55852115,-0.6831248,-0.54179066,0.9495934,0.040092476,1.0143962,-0.65563315,0.14128296,0.4675208,-0.41331568,-0.79416573,0.6435741,0.08537887,-0.8552557,-0.47098705,0.05989471,-1.2545881,0.053469785,-0.70655,-1.1225647,-0.9558486,-0.79853165,-0.9157941,-0.74777365,-1.5431293,-1.0051464,-1.4731224,-1.220094,-1.7672938,-0.56016725,-1.7653418,-1.4314352,-1.7494845
3,-0.9483158,0.4410644,0.6754432,0.64168656,0.79559994,0.9991409,0.7429201,0.27073348,-0.69296587,-0.4385196,1.0779309,0.38155913,0.7009373,-0.4691209,0.36094782,0.71750706,-0.2512767,-0.45729145,0.5799675,-0.09987967,-0.7106665,-0.73165447,0.25476173,-1.0378853,-0.21984428,-0.9180663,-1.1343981,-0.8404046,-0.8099733,-0.6180455,-1.0051346,-1.5445442,-1.1946533,-1.7636989,-1.4053766,-1.5385618,-0.5050906,-1.6297956,-1.4040847,-2.2619584
4,-1.362001,0.86203593,0.68499506,0.89727956,0.9040024,0.87903863,0.43459657,0.9033853,-0.6064152,-0.77840215,0.9959159,0.02538596,0.65558887,-0.5636155,0.51902366,0.69281775,-0.6188516,-0.013056465,0.21494739,-0.31713334,-0.7041459,-0.51037586,-0.25114277,-1.4994041,-0.13422514,-0.9530624,-1.3890357,-0.29895404,-1.1751266,-0.5708305,-0.88869286,-1.1813949,-0.849412,-1.6346908,-0.8687041,-1.1022335,-0.8820777,-1.3104205,-1.5970331,-1.9620821
5,-1.1676368,1.1322602,0.6222622,0.39626467,1.1020997,0.74273086,0.26160437,0.7161276,-0.27195913,-0.79026496,1.1809828,0.18729834,0.49758738,-0.6357093,0.22969243,0.5473524,-0.42647418,-0.48389205,0.36393523,-0.3139635,-0.65922445,-0.6924384,-0.15850982,-1.5241917,-0.23227352,-1.0519711,-1.2082702,-0.73421586,-1.0533572,-0.73674417,-1.3438324,-1.6273758,-1.3513963,-2.0208735,-1.5628772,-1.4931666,-0.9730926,-1.9510267,-1.7356011,-2.6556182
6,-1.0692356,1.0445498,0.49768132,0.7357514,0.63276434,1.0381092,0.72497755,0.7415254,-0.40048495,-0.6706826,1.1795834,0.42973667,0.8351087,-0.8538422,0.9999979,0.3492491,-0.8948804,-0.56789017,0.51443315,-0.34306517,-1.0859435,-0.5414654,-0.13241163,-1.1568084,-0.3683846,-0.8846957,-1.624668,-0.44670647,-1.4951516,-0.7939328,-1.3194625,-1.361528,-1.1031305,-1.858749,-1.7913743,-1.7563754,-1.0659378,-1.556959,-2.0158274,-2.025254
7,-1.0829837,1.2640314,0.5192514,0.72990674,0.92235523,0.9060575,0.8581364,0.5465445,-0.20265223,-0.65799147,0.98874724,0.38914117,0.89442676,-0.6331996,0.7823128,0.60111225,-0.62924093,-0.34890652,0.42176348,-0.1667954,-1.1978594,-0.56294495,-0.1364201,-0.8046115,-0.43520975,-0.75508386,-1.2353655,-0.7247673,-1.4852196,-0.73639303,-1.4418657,-1.3613917,-0.98306346,-1.6868703,-1.5237753,-1.6574697,-0.63884,-1.5782018,-1.4476035,-2.2455075
8,-1.4329866,1.3949397,0.74948424,0.7834815,1.0035024,0.9081631,0.3179365,1.1183028,0.083426245,-0.62172306,1.1601343,0.85860974,0.42402562,-0.6300238,0.60929525,0.45426002,0.37602314,-0.52501506,0.39495832,0.4462277,-1.4324086,-0.038992736,-0.2795517,-1.3507005,-0.24005876,-0.78292346,-0.8743462,-0.40136868,-1.2729505,-0.684481,-1.470815,-1.7697121,-1.566086,-1.511359,-2.1926193,-0.7225175,-1.3760433,-1.6260854,-2.0353427,-2.2000923
9,-1.0768311,1.1952964,0.37397245,0.53615916,0.72363293,0.729232,0.17853706,0.5381802,-0.27190495,-0.7131687,1.3025777,0.5046658,0.19793542,-0.8647635,0.5361872,0.12470674,-0.2591842,-0.4084903,0.2857711,0.09154891,-1.2566667,0.0012982559,-0.1190414,-1.2654089,-0.40908894,-1.0337172,-1.3449271,-0.7237628,-1.0802479,-0.9909557,-1.6513395,-1.6102883,-1.7317488,-1.7816075,-2.1760817,-1.3952407,-1.0339253,-1.5472438,-1.8603189,-2.3032215
